{'01044099999': -10.0, '02293099999': -27.6}
         387298 function calls (381502 primitive calls) in 10.227 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.001    0.000 models.py:312(prepare)
      987    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.001    0.001 __init__.py:417(PercentStyle)
        2    0.000    0.000    0.001    0.000 adapters.py:293(get_connection)
      173    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:553(_classify_pyc)
      541    0.000    0.000    0.000    0.000 {built-in method builtins.max}
       38    0.000    0.000    0.000    0.000 typing.py:1435(_alias)
        2    0.000    0.000    0.000    0.000 parser.py:59(parsestr)
        1    0.000    0.000    0.000    0.000 error.py:1(<module>)
     1169    0.000    0.000    0.000    0.000 response.py:392(_decode)
        2    0.000    0.000    0.000    0.000 client.py:1253(request)
      416    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
        2    0.000    0.000    0.000    0.000 client.py:1258(_send_request)
     1397    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
        2    0.000    0.000    0.000    0.000 parser.py:41(parse)
      297    0.000    0.000    0.000    0.000 enum.py:631(__new__)
      236    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:103(release)
      190    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
       17    0.000    0.000    0.000    0.000 enum.py:200(<setcomp>)
        2    0.000    0.000    0.000    0.000 poolmanager.py:286(connection_from_url)
        6    0.000    0.000    0.000    0.000 url.py:330(parse_url)
        1    0.000    0.000    0.000    0.000 request.py:945(AbstractBasicAuthHandler)
        1    0.000    0.000    0.000    0.000 load.py:52(get_min_temperatures)
        1    0.000    0.000    0.000    0.000 load.py:53(<dictcomp>)
     1226    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
      314    0.000    0.000    0.000    0.000 sre_parse.py:432(_uniq)
      236    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:78(acquire)
        1    0.000    0.000    0.000    0.000 universaldetector.py:51(UniversalDetector)
       22    0.000    0.000    0.000    0.000 enum.py:932(__or__)
      363    0.000    0.000    0.000    0.000 enum.py:417(__setattr__)
      519    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1243(CookieJar)
        1    0.000    0.000    0.000    0.000 langbulgarianmodel.py:4(<module>)
     4900    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 charsetgroupprober.py:28(<module>)
      173    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:586(_validate_timestamp_pyc)
     3572    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
     1336    0.000    0.000    0.000    0.000 os.py:752(decode)
     1563    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        1    0.000    0.000    0.000    0.000 ipaddress.py:1484(_IPv4Constants)
       73    0.000    0.000    0.000    0.000 enum.py:938(__and__)
      672    0.000    0.000    0.000    0.000 os.py:693(__iter__)
        2    0.000    0.000    0.000    0.000 connection.py:533(_match_hostname)
       19    0.000    0.000    0.000    0.000 ipaddress.py:1417(__init__)
      482    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:389(parent)
        1    0.000    0.000    0.000    0.000 escprober.py:28(<module>)
        1    0.000    0.000    0.000    0.000 models.py:1(<module>)
       32    0.000    0.000    0.000    0.000 ipaddress.py:1224(__init__)
       10    0.000    0.000    0.000    0.000 enum.py:889(_missing_)
      690    0.000    0.000    0.000    0.000 os.py:748(encode)
        2    0.000    0.000    0.000    0.000 feedparser.py:173(feed)
       12    0.000    0.000    0.000    0.000 typing.py:677(__getitem__)
      216    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
        1    0.000    0.000    0.000    0.000 ipaddress.py:2151(_IPv6Constants)
    15/11    0.000    0.000    0.000    0.000 typing.py:347(__getitem__)
        1    0.000    0.000    0.000    0.000 poolmanager.py:1(<module>)
       10    0.000    0.000    0.000    0.000 enum.py:899(_create_pseudo_member_)
        2    0.000    0.000    0.000    0.000 models.py:360(prepare_url)
       28    0.000    0.000    0.000    0.000 ipaddress.py:2075(__init__)
        2    0.000    0.000    0.000    0.000 poolmanager.py:224(connection_from_host)
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
        4    0.000    0.000    0.000    0.000 feedparser.py:178(_call_parse)
        2    0.000    0.000    0.000    0.000 poolmanager.py:247(connection_from_context)
     1002    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
        4    0.000    0.000    0.000    0.000 feedparser.py:218(_parsegen)
     1544    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       14    0.000    0.000    0.000    0.000 structures.py:42(__init__)
        1    0.000    0.000    0.000    0.000 status_codes.py:3(<module>)
        1    0.000    0.000    0.000    0.000 zipfile.py:1(<module>)
      216    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
       22    0.000    0.000    0.000    0.000 ipaddress.py:1125(_ip_int_from_string)
        1    0.000    0.000    0.000    0.000 errors.py:5(<module>)
      522    0.000    0.000    0.000    0.000 typing.py:646(_is_dunder)
        2    0.000    0.000    0.000    0.000 ssl_match_hostname.py:98(match_hostname)
        1    0.000    0.000    0.000    0.000 status_codes.py:107(_init)
      642    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:867(__exit__)
       10    0.000    0.000    0.000    0.000 enum.py:978(_decompose)
       20    0.000    0.000    0.000    0.000 parse.py:369(urlparse)
       10    0.000    0.000    0.000    0.000 url.py:210(_encode_invalid_chars)
        2    0.000    0.000    0.000    0.000 poolmanager.py:262(connection_from_pool_key)
       18    0.000    0.000    0.000    0.000 _collections_abc.py:824(update)
        2    0.000    0.000    0.000    0.000 response.py:581(from_httplib)
      698    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
       17    0.000    0.000    0.000    0.000 typing.py:689(copy_with)
        2    0.000    0.000    0.000    0.000 adapters.py:256(build_response)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
      525    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
        2    0.000    0.000    0.000    0.000 poolmanager.py:188(_new_pool)
      541    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      177    0.000    0.000    0.000    0.000 sre_parse.py:355(_escape)
        2    0.000    0.000    0.000    0.000 connectionpool.py:912(__init__)
        1    0.000    0.000    0.000    0.000 message.py:105(Message)
      642    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:863(__enter__)
       17    0.000    0.000    0.000    0.000 enum.py:143(__prepare__)
        2    0.000    0.000    0.000    0.000 connectionpool.py:169(__init__)
       12    0.000    0.000    0.000    0.000 typing.py:187(_subs_tvars)
        1    0.000    0.000    0.000    0.000 utf8prober.py:28(<module>)
        2    0.000    0.000    0.000    0.000 sessions.py:349(__init__)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:1(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:5(HTTPStatus)
        1    0.000    0.000    0.000    0.000 retry.py:1(<module>)
     1115    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 langhebrewmodel.py:4(<module>)
      128    0.000    0.000    0.000    0.000 sre_parse.py:295(_class_escape)
        2    0.000    0.000    0.000    0.000 connection.py:208(putrequest)
        2    0.000    0.000    0.000    0.000 client.py:410(_close_conn)
      314    0.000    0.000    0.000    0.000 {built-in method fromkeys}
  175/174    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:516(_check_name_wrapper)
       45    0.000    0.000    0.000    0.000 ipaddress.py:1810(__init__)
     1724    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
     2549    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       41    0.000    0.000    0.000    0.000 functools.py:34(update_wrapper)
        2    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
       14    0.000    0.000    0.000    0.000 sessions.py:50(merge_setting)
       22    0.000    0.000    0.000    0.000 parse.py:425(urlsplit)
      302    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
